journal_full_title;issn;eissn;doi;period;is_gold;is_hybrid;is_green;non_oa;bfi_level;publisher;institution;corresponding_author;corresponding_institution;euro;submission_fee;page_charge;color_charge;CC-charge;discount;dk_funding
B M C Pulmonary Medicine;1471-2466;;10.1186/s12890-015-0058-3;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Datalogisk Institut;;;;;;;;;
Computational Intelligence and Neuroscience;1687-5265;;10.1155/2015/813696;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Datalogisk Institut;;;;;;;;;
Computer (New York);0018-9162;;10.1109/MC.2015.70;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Datalogisk Institut;;;;;;;;;
Computer Supported Cooperative Work;0925-9724;;10.1007/s10606-015-9227-4;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Datalogisk Institut;;;;;;;;;
Data Mining and Knowledge Discovery;1384-5810;;10.1007/s10618-015-0427-9;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Datalogisk Institut;;;;;;;;;
Entropy;1099-4300;;10.3390/e18120425;2016;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Datalogisk Institut;;;;;;;;;
European Journal of Radiology;0720-048X;;10.1016/j.ejrad.2015.02.011;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Datalogisk Institut;;;;;;;;;
European Radiology;0938-7994;;10.1007/s00330-016-4329-z;2016;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Datalogisk Institut;;;;;;;;;
I E E E Internet Computing;1089-7801;;10.1109/MIC.2015.52;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Datalogisk Institut;;;;;;;;;
I E E E Transactions on Medical Imaging;0278-0062;;10.1109/TMI.2014.2380991;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Datalogisk Institut;;;;;;;;;
Journal of Machine Learning Research;1533-79282011 ? …;;;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Datalogisk Institut;;;;;;;;;
NeuroImage;1053-8119;;10.1016/j.neuroimage.2015.01.048;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Datalogisk Institut;;;;;;;;;
P L o S One;1932-6203;;10.1371/journal.pone.0162520;2016;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Datalogisk Institut;;;;;;;;;
P L o S One;1932-6203;;10.1371/journal.pone.0158912;2016;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Datalogisk Institut;;;;;;;;;
PLoS Computational Biology;1553-734X;;10.1371/journal.pcbi.1005092;2016;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Datalogisk Institut;;;;;;;;;
Procedia Computer Science;1877-05092011 ? …;;10.1016/j.procs.2015.08.466;2015;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Datalogisk Institut;;;;;;;;;
Telemedicine and e-Health;1530-56272011 ? …;;10.1089/tmj.2014.0123;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Datalogisk Institut;;;;;;;;;
V L D B Journal;1066-8888;;10.1007/s00778-014-0375-9;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Datalogisk Institut;;;;;;;;;
Clinical & Developmental Immunology;1740-2522;;10.1155/2015/380975;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Disease Systems Biology Program;;;;;;;;;
Applied and Environmental Microbiology;0099-2240;;10.1128/AEM.00961-15;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Ecology and Evolution;;;;;;;;;
Applied and Environmental Microbiology;0099-2240;;10.1128/AEM.01844-15;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Ecology and Evolution;;;;;;;;;
B M C Evolutionary Biology;1471-2148;;10.1186/s12862-015-0308-2;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Ecology and Evolution;;;;;;;;;
